"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 20 12:18:39 GMT 2025","Tue May 20 12:18:41 GMT 2025","2037","","ui.WebFormTest","","ui.WebFormTest","proverkaPassword","proverkaPassword()",""
"passed","Tue May 20 12:18:04 GMT 2025","Tue May 20 12:18:05 GMT 2025","469","","ui.HomePageTest","","ui.HomePageTest","OpenHomePage","OpenHomePage()",""
"passed","Tue May 20 12:18:45 GMT 2025","Tue May 20 12:18:45 GMT 2025","631","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","openWebFormTest","openWebFormTest()",""
"passed","Tue May 20 12:18:19 GMT 2025","Tue May 20 12:18:21 GMT 2025","1698","","ui.WebFormTest","","ui.WebFormTest","proverkaTextArea","proverkaTextArea()",""
"passed","Tue May 20 12:18:33 GMT 2025","Tue May 20 12:18:39 GMT 2025","6864","","ui.WebFormTest","","ui.WebFormTest","proverkaDropdownSelect","proverkaDropdownSelect()",""
"passed","Tue May 20 12:18:47 GMT 2025","Tue May 20 12:18:48 GMT 2025","708","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaPassword","proverkaPassword()",""
"passed","Tue May 20 12:17:58 GMT 2025","Tue May 20 12:17:59 GMT 2025","719","","ui.DialogBoxesWithPOMTest","","ui.DialogBoxesWithPOMTest","proverkaLaunchAlert","proverkaLaunchAlert()",""
"passed","Tue May 20 12:17:44 GMT 2025","Tue May 20 12:17:49 GMT 2025","4679","","ui.DialogBoxesTest","","ui.DialogBoxesTest","proverkaLaunchAlert","proverkaLaunchAlert()",""
"passed","Tue May 20 12:17:40 GMT 2025","Tue May 20 12:17:44 GMT 2025","4810","","ui.DialogBoxesTest","","ui.DialogBoxesTest","proverkaLaunchPrompt","proverkaLaunchPrompt()",""
"passed","Tue May 20 12:17:59 GMT 2025","Tue May 20 12:18:01 GMT 2025","1048","","ui.DropDownMenuTest","","ui.DropDownMenuTest","proverkaDropdownMenu","proverkaDropdownMenu()",""
"passed","Tue May 20 12:18:43 GMT 2025","Tue May 20 12:18:44 GMT 2025","706","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaTextArea","proverkaTextArea()",""
"passed","Tue May 20 12:18:11 GMT 2025","Tue May 20 12:18:12 GMT 2025","619","","ui.NavigationWithPOMTest","","ui.NavigationWithPOMTest","proverkaStranici","proverkaStranici()",""
"passed","Tue May 20 12:18:29 GMT 2025","Tue May 20 12:18:31 GMT 2025","1644","","ui.WebFormTest","","ui.WebFormTest","proverkaCheckedRadio","proverkaCheckedRadio()",""
"passed","Tue May 20 12:17:57 GMT 2025","Tue May 20 12:17:58 GMT 2025","712","","ui.DialogBoxesWithPOMTest","","ui.DialogBoxesWithPOMTest","proverkaLaunchPrompt","proverkaLaunchPrompt()",""
