"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 20 11:50:30 GMT 2025","Tue May 20 11:50:35 GMT 2025","4711","","ui.DialogBoxesTest","","ui.DialogBoxesTest","proverkaLaunchAlert","proverkaLaunchAlert()",""
"passed","Tue May 20 11:50:42 GMT 2025","Tue May 20 11:50:43 GMT 2025","861","","ui.DialogBoxesWithPOMTest","","ui.DialogBoxesWithPOMTest","openDialogBoxesTest","openDialogBoxesTest()",""
"passed","Tue May 20 11:50:58 GMT 2025","Tue May 20 11:51:00 GMT 2025","1849","","ui.WebFormTest","","ui.WebFormTest","proverkaDatePicker","proverkaDatePicker()",""
"passed","Tue May 20 11:51:11 GMT 2025","Tue May 20 11:51:14 GMT 2025","3025","","ui.WebFormTest","","ui.WebFormTest","proverkaExampleRange","proverkaExampleRange()",""
"passed","Tue May 20 11:51:00 GMT 2025","Tue May 20 11:51:02 GMT 2025","1779","","ui.WebFormTest","","ui.WebFormTest","proverkaColorPicker","proverkaColorPicker()",""
"passed","Tue May 20 11:51:31 GMT 2025","Tue May 20 11:51:32 GMT 2025","687","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","openWebFormTest","openWebFormTest()",""
"passed","Tue May 20 11:51:17 GMT 2025","Tue May 20 11:51:19 GMT 2025","1768","","ui.WebFormTest","","ui.WebFormTest","proverkaTextInput","proverkaTextInput()",""
"passed","Tue May 20 11:51:29 GMT 2025","Tue May 20 11:51:30 GMT 2025","824","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaDisabledInput","proverkaDisabledInput()",""
"passed","Tue May 20 11:50:46 GMT 2025","Tue May 20 11:50:47 GMT 2025","800","","ui.DropDownMenuTest","","ui.DropDownMenuTest","doubleClick","doubleClick()",""
"passed","Tue May 20 11:51:33 GMT 2025","Tue May 20 11:51:34 GMT 2025","758","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaTextInput","proverkaTextInput()",""
"passed","Tue May 20 11:50:52 GMT 2025","Tue May 20 11:50:57 GMT 2025","5294","","ui.NavigationTest","","ui.NavigationTest","proverkaNavigation","proverkaNavigation()",""
"passed","Tue May 20 11:51:19 GMT 2025","Tue May 20 11:51:26 GMT 2025","6919","","ui.WebFormTest","","ui.WebFormTest","proverkaDropdownSelect","proverkaDropdownSelect()",""
"passed","Tue May 20 11:51:35 GMT 2025","Tue May 20 11:51:35 GMT 2025","785","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaPassword","proverkaPassword()",""
