"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 20 11:50:47 GMT 2025","Tue May 20 11:50:48 GMT 2025","797","","ui.DropDownMenuTest","","ui.DropDownMenuTest","rightClick","rightClick()",""
"passed","Tue May 20 11:50:46 GMT 2025","Tue May 20 11:50:46 GMT 2025","825","","ui.DropDownMenuTest","","ui.DropDownMenuTest","proverkaDropdownMenu","proverkaDropdownMenu()",""
"passed","Tue May 20 11:51:28 GMT 2025","Tue May 20 11:51:29 GMT 2025","779","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaCheckedCheckbox","proverkaCheckedCheckbox()",""
"passed","Tue May 20 11:50:57 GMT 2025","Tue May 20 11:50:58 GMT 2025","951","","ui.NavigationWithPOMTest","","ui.NavigationWithPOMTest","proverkaKnopok","proverkaKnopok()",""
"passed","Tue May 20 11:50:44 GMT 2025","Tue May 20 11:50:45 GMT 2025","757","","ui.DialogBoxesWithPOMTest","","ui.DialogBoxesWithPOMTest","proverkaLaunchAlert","proverkaLaunchAlert()",""
"passed","Tue May 20 11:51:06 GMT 2025","Tue May 20 11:51:07 GMT 2025","1794","","ui.WebFormTest","","ui.WebFormTest","proverkaTextArea","proverkaTextArea()",""
"passed","Tue May 20 11:50:48 GMT 2025","Tue May 20 11:50:49 GMT 2025","783","","ui.DropDownMenuWithPOMTest","","ui.DropDownMenuWithPOMTest","proverkaDropdownMenu","proverkaDropdownMenu()",""
"passed","Tue May 20 11:51:34 GMT 2025","Tue May 20 11:51:35 GMT 2025","972","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaDropdownSelect","proverkaDropdownSelect()",""
"passed","Tue May 20 11:50:35 GMT 2025","Tue May 20 11:50:42 GMT 2025","6740","","ui.DialogBoxesTest","","ui.DialogBoxesTest","proverkaLaunchModal","proverkaLaunchModal()",""
"passed","Tue May 20 11:50:51 GMT 2025","Tue May 20 11:50:51 GMT 2025","541","","ui.HomePageWithPOMTest","","ui.HomePageWithPOMTest","OpenHomePageTest","OpenHomePageTest()",""
"failed","Tue May 20 11:50:45 GMT 2025","Tue May 20 11:50:46 GMT 2025","701","","ui.DialogBoxesWithPOMTest","","ui.DialogBoxesWithPOMTest","proverkaLaunchModal","proverkaLaunchModal()",""
"passed","Tue May 20 11:50:25 GMT 2025","Tue May 20 11:50:30 GMT 2025","4848","","ui.DialogBoxesTest","","ui.DialogBoxesTest","proverkaLaunchPrompt","proverkaLaunchPrompt()",""
"passed","Tue May 20 11:50:19 GMT 2025","Tue May 20 11:50:25 GMT 2025","5937","","ui.DialogBoxesTest","","ui.DialogBoxesTest","proverkaLaunchConfirm","proverkaLaunchConfirm()",""
"passed","Tue May 20 11:50:43 GMT 2025","Tue May 20 11:50:44 GMT 2025","787","","ui.DialogBoxesWithPOMTest","","ui.DialogBoxesWithPOMTest","proverkaLaunchPrompt","proverkaLaunchPrompt()",""
"passed","Tue May 20 11:50:49 GMT 2025","Tue May 20 11:50:50 GMT 2025","758","","ui.DropDownMenuWithPOMTest","","ui.DropDownMenuWithPOMTest","doubleClick","doubleClick()",""
"passed","Tue May 20 11:50:50 GMT 2025","Tue May 20 11:50:50 GMT 2025","795","","ui.DropDownMenuWithPOMTest","","ui.DropDownMenuWithPOMTest","rightClick","rightClick()",""
"passed","Tue May 20 11:51:04 GMT 2025","Tue May 20 11:51:06 GMT 2025","1816","","ui.WebFormTest","","ui.WebFormTest","proverkaDisabledInput","proverkaDisabledInput()",""
"passed","Tue May 20 11:51:14 GMT 2025","Tue May 20 11:51:16 GMT 2025","1732","","ui.WebFormTest","","ui.WebFormTest","proverkaReadonlyInput","proverkaReadonlyInput()",""
"passed","Tue May 20 11:51:09 GMT 2025","Tue May 20 11:51:11 GMT 2025","1795","","ui.WebFormTest","","ui.WebFormTest","proverkaDefaultCheckbox","proverkaDefaultCheckbox()",""
"passed","Tue May 20 11:51:07 GMT 2025","Tue May 20 11:51:09 GMT 2025","1769","","ui.WebFormTest","","ui.WebFormTest","proverkaDefaultRadio","proverkaDefaultRadio()",""
"passed","Tue May 20 11:51:16 GMT 2025","Tue May 20 11:51:17 GMT 2025","1737","","ui.WebFormTest","","ui.WebFormTest","proverkaCheckedRadio","proverkaCheckedRadio()",""
"passed","Tue May 20 11:51:31 GMT 2025","Tue May 20 11:51:31 GMT 2025","775","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaDefaultCheckbox","proverkaDefaultCheckbox()",""
"passed","Tue May 20 11:51:30 GMT 2025","Tue May 20 11:51:31 GMT 2025","780","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaTextArea","proverkaTextArea()",""
"passed","Tue May 20 11:51:32 GMT 2025","Tue May 20 11:51:33 GMT 2025","732","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaReadonlyInput","proverkaReadonlyInput()",""
"passed","Tue May 20 11:51:26 GMT 2025","Tue May 20 11:51:28 GMT 2025","2033","","ui.WebFormTest","","ui.WebFormTest","proverkaPassword","proverkaPassword()",""
"passed","Tue May 20 11:50:50 GMT 2025","Tue May 20 11:50:51 GMT 2025","500","","ui.HomePageTest","","ui.HomePageTest","OpenHomePage","OpenHomePage()",""
"passed","Tue May 20 11:51:02 GMT 2025","Tue May 20 11:51:04 GMT 2025","1789","","ui.WebFormTest","","ui.WebFormTest","proverkaCheckedCheckbox","proverkaCheckedCheckbox()",""
"passed","Tue May 20 11:50:43 GMT 2025","Tue May 20 11:50:43 GMT 2025","785","","ui.DialogBoxesWithPOMTest","","ui.DialogBoxesWithPOMTest","proverkaLaunchConfirm","proverkaLaunchConfirm()",""
"passed","Tue May 20 11:50:57 GMT 2025","Tue May 20 11:50:57 GMT 2025","632","","ui.NavigationWithPOMTest","","ui.NavigationWithPOMTest","proverkaStranici","proverkaStranici()",""
