"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 21 01:40:28 GMT 2025","Wed May 21 01:40:28 GMT 2025","711","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaTextInput","proverkaTextInput()",""
"passed","Wed May 21 01:39:40 GMT 2025","Wed May 21 01:39:41 GMT 2025","1294","","ui.DialogBoxesWithPOMTest","","ui.DialogBoxesWithPOMTest","proverkaLaunchModal","proverkaLaunchModal()",""
"passed","Wed May 21 01:39:39 GMT 2025","Wed May 21 01:39:40 GMT 2025","725","","ui.DialogBoxesWithPOMTest","","ui.DialogBoxesWithPOMTest","proverkaLaunchAlert","proverkaLaunchAlert()",""
"passed","Wed May 21 01:40:13 GMT 2025","Wed May 21 01:40:14 GMT 2025","1715","","ui.WebFormTest","","ui.WebFormTest","proverkaTextInput","proverkaTextInput()",""
"passed","Wed May 21 01:40:03 GMT 2025","Wed May 21 01:40:04 GMT 2025","1723","","ui.WebFormTest","","ui.WebFormTest","proverkaDefaultRadio","proverkaDefaultRadio()",""
"passed","Wed May 21 01:39:54 GMT 2025","Wed May 21 01:39:56 GMT 2025","1897","","ui.WebFormTest","","ui.WebFormTest","proverkaDatePicker","proverkaDatePicker()",""
"passed","Wed May 21 01:39:25 GMT 2025","Wed May 21 01:39:30 GMT 2025","4662","","ui.DialogBoxesTest","","ui.DialogBoxesTest","proverkaLaunchAlert","proverkaLaunchAlert()",""
"passed","Wed May 21 01:39:44 GMT 2025","Wed May 21 01:39:45 GMT 2025","742","","ui.DropDownMenuWithPOMTest","","ui.DropDownMenuWithPOMTest","doubleClick","doubleClick()",""
"passed","Wed May 21 01:40:25 GMT 2025","Wed May 21 01:40:25 GMT 2025","830","","ui.WebFormWithPOMTest","","ui.WebFormWithPOMTest","proverkaTextArea","proverkaTextArea()",""
"passed","Wed May 21 01:39:42 GMT 2025","Wed May 21 01:39:43 GMT 2025","760","","ui.DropDownMenuTest","","ui.DropDownMenuTest","doubleClick","doubleClick()",""
